제조사,모델,세부모델,제조사,모델,,세부모델,,,
,,,,,,,,,
현대,i30,i30(신형),현대,i30,i30(신형),i30(신형),,T,
,,,,,0,,,,
현대,i30,i30,현대,i30,i30,i30,,T,
,,,,,0,,,,
현대,i30,i30 (PD),현대,i30,i30 (PD),i30 (PD),,T,
,,,,,0,,,,
현대,i30,더 뉴 i30,현대,i30,더 뉴 i30,더 뉴 i30,,T,
,,,,,0,,,,
현대,i30,i30 cw,현대,i30,i30 cw,i30 cw,,T,
,,,,,0,,,,
현대,i40,i40 살룬,현대,i40,i40 살룬,i40 살룬,,T,
,,,,,0,,,,
현대,i40,i40,현대,i40,i40,i40,,T,
,,,,,0,,,,
현대,i40,더 뉴 i40 살룬,현대,i40,더 뉴 i40 살룬,더 뉴 i40 살룬,,T,
,,,,,0,,,,
현대,i40,더 뉴 i40,현대,i40,더 뉴 i40,더 뉴 i40,,T,
,,,,,0,,,,
현대,갤로퍼,갤로퍼 2,현대,갤로퍼,갤로퍼 2,갤로퍼 2,,T,
,,,,,0,,,,
현대,갤로퍼,갤로퍼,현대,갤로퍼,갤로퍼,갤로퍼,,T,
,,,,,0,,,,
현대,그라나다,그라나다,현대,그라나다,그라나다,그라나다,,T,
,,,,,0,,,,
현대,그랜저,그랜저 HG,현대,그랜저,그랜저 HG,그랜저 HG,,T,
,,,,,0,,,,
현대,그랜저,그랜저 IG,현대,그랜저,그랜저 IG,그랜저 IG,,T,
,,,,,0,,,,
현대,그랜저,더 뉴 그랜저 IG,현대,그랜저,더 뉴 그랜저,더 뉴 그랜저,,F,
,,,,,0,,,,
현대,그랜저,그랜저 TG,현대,그랜저,그랜저 TG,그랜저 TG,,T,
,,,,,0,,,,
현대,그랜저,그랜저 뉴 럭셔리,현대,그랜저,그랜저 뉴 럭셔리,그랜저 뉴 럭셔리,,T,
,,,,,0,,,,
현대,그랜저,더 뉴 그랜저 IG 하이브리드,현대,그랜저,더 뉴 그랜저 하이브리드,더 뉴 그랜저 하이브리드,,F,
,,,,,0,,,,
현대,그랜저,그랜저 IG 하이브리드,현대,그랜저,그랜저 IG 하이브리드,그랜저 IG 하이브리드,,T,
,,,,,0,,,,
현대,그랜저,더 럭셔리 그랜저,현대,그랜저,더 럭셔리 그랜저,더 럭셔리 그랜저,,T,
,,,,,0,,,,
현대,그랜저,그랜저 HG 하이브리드,현대,그랜저,그랜저 HG 하이브리드,그랜저 HG 하이브리드,,T,
,,,,,0,,,,
현대,그랜저,그랜저,현대,그랜저,그랜저,그랜저,,T,
,,,,,0,,,,
현대,그랜저,뉴 그랜저 XG,현대,그랜저,뉴 그랜저 XG,뉴 그랜저 XG,,T,
,,,,,0,,,,
현대,그랜저,뉴 그랜저,현대,그랜저,뉴 그랜저,뉴 그랜저,,T,
,,,,,0,,,,
현대,그랜저,그랜저 XG,현대,그랜저,그랜저 XG,그랜저 XG,,T,
,,,,,0,,,,
현대,그레이스,뉴그레이스,현대,그레이스,뉴그레이스,뉴그레이스,,T,
,,,,,0,,,,
현대,그레이스,그레이스,현대,그레이스,그레이스,그레이스,,T,
,,,,,0,,,,
현대,넥쏘,넥쏘,현대,넥쏘,넥쏘,넥쏘,,T,
,,,,,0,,,,
현대,다이너스티,다이너스티,현대,다이너스티,다이너스티,다이너스티,,T,
,,,,,0,,,,
현대,라비타,라비타,현대,라비타,라비타,라비타,,T,
,,,,,0,,,,
현대,마르샤,마르샤,현대,마르샤,마르샤,마르샤,,T,
,,,,,0,,,,
현대,맥스크루즈,더 뉴 맥스크루즈,현대,맥스크루즈,더 뉴 맥스크루즈,더 뉴 맥스크루즈,,T,
,,,,,0,,,,
현대,맥스크루즈,맥스크루즈,현대,맥스크루즈,맥스크루즈,맥스크루즈,,T,
,,,,,0,,,,
현대,베뉴,베뉴,현대,베뉴,베뉴,베뉴,,T,
,,,,,0,,,,
현대,베라크루즈,베라크루즈,현대,베라크루즈,베라크루즈,베라크루즈,,T,
,,,,,0,,,,
현대,베르나,베르나(신형),현대,베르나,베르나(신형),베르나(신형),,T,
,,,,,0,,,,
현대,베르나,베르나 트랜스폼,현대,베르나,베르나 트랜스폼,베르나 트랜스폼,,T,
,,,,,0,,,,
현대,베르나,New 베르나,현대,베르나,뉴 베르나,뉴 베르나,,F,
,,,,,0,,,,
현대,베르나,베르나,현대,베르나,베르나,베르나,,T,
,,,,,0,,,,
현대,벨로스터,벨로스터 (JS),현대,벨로스터,벨로스터 (JS),벨로스터 (JS),,T,
,,,,,0,,,,
현대,벨로스터,벨로스터,현대,벨로스터,벨로스터,벨로스터,,T,
,,,,,0,,,,
현대,벨로스터,더 뉴 벨로스터,현대,벨로스터,더 뉴 벨로스터,더 뉴 벨로스터,,T,
,,,,,0,,,,
현대,블루온,블루온,현대,블루온,블루온,블루온,,T,
,,,,,0,,,,
현대,산타모,산타모,현대,산타모,산타모,산타모,,T,
,,,,,0,,,,
현대,스쿠프,스쿠프,현대,스쿠프,스쿠프,스쿠프,,T,
,,,,,0,,,,
현대,스타렉스,그랜드 스타렉스,현대,스타렉스,그랜드 스타렉스,그랜드 스타렉스,,T,
,,,,,0,,,,
현대,스타렉스,더 뉴 그랜드 스타렉스,현대,스타렉스,더 뉴 그랜드 스타렉스,더 뉴 그랜드 스타렉스,,T,
,,,,,0,,,,
현대,스타렉스,스타렉스 점보,현대,스타렉스,스타렉스 점보,스타렉스 점보,,T,
,,,,,0,,,,
현대,스타렉스,스타렉스,현대,스타렉스,스타렉스,스타렉스,,T,
,,,,,0,,,,
현대,스타리아,스타리아,현대,스타리아,스타리아,스타리아,,T,
,,,,,0,,,,
현대,스텔라,스텔라,현대,스텔라,스텔라,스텔라,,T,
,,,,,0,,,,
현대,싼타페,싼타페 더 프라임,현대,싼타페,싼타페 더 프라임,싼타페 더 프라임,,T,
,,,,,0,,,,
현대,싼타페,싼타페 TM,현대,싼타페,싼타페 TM,싼타페 TM,,T,
,,,,,0,,,,
현대,싼타페,싼타페 DM,현대,싼타페,싼타페 DM,싼타페 DM,,T,
,,,,,0,,,,
현대,싼타페,싼타페 CM,현대,싼타페,싼타페 CM,싼타페 CM,,T,
,,,,,0,,,,
현대,싼타페,더 뉴 싼타페,현대,싼타페,더 뉴 싼타페,더 뉴 싼타페,,T,
,,,,,0,,,,
현대,싼타페,싼타페,현대,싼타페,싼타페,싼타페,,T,
,,,,,0,,,,
현대,쏘나타,LF 쏘나타,현대,쏘나타,LF 쏘나타,LF 쏘나타,,T,
,,,,,0,,,,
현대,쏘나타,쏘나타 뉴 라이즈,현대,쏘나타,쏘나타 뉴 라이즈,쏘나타 뉴 라이즈,,T,
,,,,,0,,,,
현대,쏘나타,YF 쏘나타,현대,쏘나타,YF 쏘나타,YF 쏘나타,,T,
,,,,,0,,,,
현대,쏘나타,쏘나타 (DN8),현대,쏘나타,쏘나타 (DN8),쏘나타 (DN8),,T,
,,,,,0,,,,
현대,쏘나타,쏘나타 더 브릴리언트,현대,쏘나타,쏘나타 더 브릴리언트,쏘나타 더 브릴리언트,,T,
,,,,,0,,,,
현대,쏘나타,NF 쏘나타 트랜스폼,현대,쏘나타,NF 쏘나타 트랜스폼,NF 쏘나타 트랜스폼,,T,
,,,,,0,,,,
현대,쏘나타,NF 쏘나타,현대,쏘나타,NF 쏘나타,NF 쏘나타,,T,
,,,,,0,,,,
현대,쏘나타,쏘나타 하이브리드,현대,쏘나타,쏘나타 하이브리드,쏘나타 하이브리드,,T,
,,,,,0,,,,
현대,쏘나타,LF 쏘나타 하이브리드,현대,쏘나타,LF 쏘나타 하이브리드,LF 쏘나타 하이브리드,,T,
,,,,,0,,,,
현대,쏘나타,쏘나타 하이브리드 (DN8),현대,쏘나타,쏘나타 하이브리드 (DN8),쏘나타 하이브리드 (DN8),,T,
,,,,,0,,,,
현대,쏘나타,쏘나타 뉴 라이즈 하이브리드,현대,쏘나타,쏘나타 뉴 라이즈 하이브리드,쏘나타 뉴 라이즈 하이브리드,,T,
,,,,,0,,,,
현대,쏘나타,뉴 EF 쏘나타,현대,쏘나타,뉴 EF 쏘나타,뉴 EF 쏘나타,,T,
,,,,,0,,,,
현대,쏘나타,쏘나타 III,현대,쏘나타,쏘나타3,쏘나타3,,F,
,,,,,0,,,,
현대,쏘나타,쏘나타 II,현대,쏘나타,쏘나타2,쏘나타3,,F,쏘나타2
,,,,,0,,,,
현대,쏘나타,쏘나타,현대,쏘나타,쏘나타,쏘나타,,T,
,,,,,0,,,,
현대,쏘나타,EF 쏘나타,현대,쏘나타,EF 쏘나타,EF 쏘나타,,T,
,,,,,0,,,,
현대,쏠라티,쏠라티,현대,쏠라티,쏠라티,쏠라티,,T,
,,,,,0,,,,
현대,아반떼,아반떼 AD,현대,아반떼,아반떼 AD,아반떼 AD,,T,
,,,,,0,,,,
현대,아반떼,아반떼 MD,현대,아반떼,아반떼 MD,아반떼 MD,,T,
,,,,,0,,,,
현대,아반떼,더 뉴 아반떼,현대,아반떼,더 뉴 아반떼,더 뉴 아반떼,,T,
,,,,,0,,,,
현대,아반떼,더 뉴 아반떼 AD,현대,아반떼,더 뉴 아반떼 AD,더 뉴 아반떼 AD,,T,
,,,,,0,,,,
현대,아반떼,아반떼 HD,현대,아반떼,아반떼 HD,아반떼 HD,,T,
,,,,,0,,,,
현대,아반떼,아반떼 (CN7),현대,아반떼,아반떼 (CN7),아반떼 (CN7),,T,
,,,,,0,,,,
현대,아반떼,뉴 아반떼 XD,현대,아반떼,뉴 아반떼 XD,뉴 아반떼 XD,,T,
,,,,,0,,,,
현대,아반떼,아반떼 하이브리드,현대,아반떼,아반떼 하이브리드,아반떼 하이브리드,,T,
,,,,,0,,,,
현대,아반떼,아반떼 하이브리드 (CN7),현대,아반떼,올 뉴 아반떼 하이브리드 (CN7),아반떼 하이브리드,,F,올 뉴 아반떼 하이브리드 (CN7)
,,,,,0,,,,
현대,아반떼,아반떼 쿠페,현대,아반떼,아반떼 쿠페,아반떼 쿠페,,T,
,,,,,0,,,,
현대,아반떼,아반떼 XD,현대,아반떼,아반떼 XD,아반떼 XD,,T,
,,,,,0,,,,
현대,아반떼,올 뉴 아반떼,현대,아반떼,올 뉴 아반떼,올 뉴 아반떼,,T,
,,,,,0,,,,
현대,아반떼,아반떼,현대,아반떼,아반떼,아반떼,,T,
,,,,,0,,,,
현대,아슬란,아슬란,현대,아슬란,아슬란,아슬란,,T,
,,,,,0,,,,
현대,아이오닉,아이오닉 하이브리드,현대,아이오닉,아이오닉 하이브리드,아이오닉 하이브리드,,T,
,,,,,0,,,,
현대,아이오닉,아이오닉 일렉트릭,현대,아이오닉,아이오닉 일렉트릭,아이오닉 일렉트릭,,T,
,,,,,0,,,,
현대,아이오닉,더 뉴 아이오닉 하이브리드,현대,아이오닉,더 뉴 아이오닉 하이브리드,더 뉴 아이오닉 하이브리드,,T,
,,,,,0,,,,
현대,아이오닉,더 뉴 아이오닉 일렉트릭,현대,아이오닉,더 뉴 아이오닉 일렉트릭,더 뉴 아이오닉 일렉트릭,,T,
,,,,,0,,,,
현대,아이오닉5,아이오닉5,현대,아이오닉5,아이오닉5,아이오닉5,,T,
,,,,,0,,,,
현대,아토스,아토스,현대,아토스,아토스,아토스,,T,
,,,,,0,,,,
현대,에쿠스,에쿠스(신형),현대,에쿠스,에쿠스(신형),에쿠스(신형),,T,
,,,,,0,,,,
현대,에쿠스,에쿠스,현대,에쿠스,에쿠스,에쿠스,,T,
,,,,,0,,,,
현대,엑센트,엑센트(신형),현대,엑센트,엑센트(신형),엑센트(신형),,T,
,,,,,0,,,,
현대,엑센트,엑센트,현대,엑센트,엑센트,엑센트,,T,
,,,,,0,,,,
현대,엑센트,뉴 엑센트,현대,엑센트,뉴 엑센트,뉴 엑센트,,T,
,,,,,0,,,,
현대,엑셀,엑셀,현대,엑셀,엑셀,엑셀,,T,
,,,,,0,,,,
현대,엘란트라,뉴엘란트라,현대,엘란트라,뉴엘란트라,뉴엘란트라,,T,
,,,,,0,,,,
현대,엘란트라,엘란트라,현대,엘란트라,엘란트라,엘란트라,,T,
,,,,,0,,,,
현대,제네시스,제네시스 DH,현대,제네시스,제네시스 DH,제네시스 DH,,T,
,,,,,0,,,,
현대,제네시스,제네시스,현대,제네시스,제네시스,제네시스,,T,
,,,,,0,,,,
현대,제네시스,제네시스 쿠페,현대,제네시스,제네시스 쿠페,제네시스 쿠페,,T,
,,,,,0,,,,
현대,제네시스,더 뉴 제네시스 쿠페,현대,제네시스,더 뉴 제네시스 쿠페,더 뉴 제네시스 쿠페,,T,
,,,,,0,,,,
현대,캐스퍼,캐스퍼,현대,캐스퍼,캐스퍼,캐스퍼,,T,
,,,,,0,,,,
현대,코나,코나,현대,코나,코나,코나,,T,
,,,,,0,,,,
현대,코나,코나 일렉트릭,현대,코나,코나 일렉트릭,코나 일렉트릭,,T,
,,,,,0,,,,
현대,코나,더 뉴 코나,현대,코나,더 뉴 코나,더 뉴 코나,,T,
,,,,,0,,,,
현대,코나,코나 하이브리드,현대,코나,코나 하이브리드,코나 하이브리드,,T,
,,,,,0,,,,
현대,코나,더 뉴 코나 하이브리드,현대,코나,더 뉴 코나 하이브리드,더 뉴 코나 하이브리드,,T,
,,,,,0,,,,
현대,코티나,코티나,현대,코티나,코티나,코티나,,T,
,,,,,0,,,,
현대,클릭,뉴 클릭,현대,클릭,뉴 클릭,뉴 클릭,,T,
,,,,,0,,,,
현대,클릭,클릭,현대,클릭,클릭,클릭,,T,
,,,,,0,,,,
현대,클릭,클릭 하이브리드,현대,클릭,클릭 하이브리드,클릭 하이브리드,,T,
,,,,,0,,,,
현대,테라칸,테라칸,현대,테라칸,테라칸,테라칸,,T,
,,,,,0,,,,
현대,투스카니,투스카니(신형),현대,투스카니,투스카니(신형),투스카니(신형),,T,
,,,,,0,,,,
현대,투스카니,투스카니,현대,투스카니,투스카니,투스카니,,T,
,,,,,0,,,,
현대,투싼,올 뉴 투싼,현대,투싼,올 뉴 투싼,올 뉴 투싼,,T,
,,,,,0,,,,
현대,투싼,투싼 ix,현대,투싼,투싼 ix,투싼 ix,,T,
,,,,,0,,,,
현대,투싼,뉴 투싼 ix,현대,투싼,뉴 투싼 ix,뉴 투싼 ix,,T,
,,,,,0,,,,
현대,투싼,투싼,현대,투싼,투싼,투싼,,T,
,,,,,0,,,,
현대,투싼,투싼 (NX4),현대,투싼,디 올 뉴 투싼 (NX4),투싼 ix,,F,디 올 뉴 투싼 (NX4)
,,,,,0,,,,
현대,투싼,투싼 하이브리드 (NX4),현대,투싼,디 올 뉴 투싼 하이브리드 (NX4),쏘나타 하이브리드 (DN8),,F,디 올 뉴 투싼 하이브리드 (NX4)
,,,,,0,,,,
현대,트라제 XG,트라제 XG,현대,트라제 XG,트라제 XG,트라제 XG,,T,
,,,,,0,,,,
현대,티뷰론,티뷰론,현대,티뷰론,티뷰론,티뷰론,,T,
,,,,,0,,,,
현대,팰리세이드,팰리세이드,현대,팰리세이드,팰리세이드,팰리세이드,,T,
,,,,,0,,,,
현대,포니,포니투,현대,포니,포니2,포니2,,F,
,,,,,0,,,,
현대,포니,포니,현대,포니,포니,포니,,T,
,,,,,0,,,,
현대,프레스토,프레스토,현대,프레스토,프레스토,프레스토,,T,
,,,,,0,,,,
제네시스,EQ900,EQ900,제네시스,EQ900,EQ900,EQ900,,T,
,,,,,0,,,,
제네시스,G70,G70,제네시스,G70,G70,G70,,T,
,,,,,0,,,,
제네시스,G70,더 뉴 G70,제네시스,G70,더 뉴 G70,더 뉴 G70,,T,
,,,,,0,,,,
제네시스,G80,G80,제네시스,G80,G80,G80,,T,
,,,,,0,,,,
제네시스,G80,G80 (RG3),제네시스,G80,G80 (RG3),G80 (RG3),,T,
,,,,,0,,,,
제네시스,G80,일렉트리파이드 G80 (RG3),제네시스,G80,일렉트리파이드 G80 (RG3),일렉트리파이드 G80 (RG3),,T,
,,,,,0,,,,
제네시스,G90,G90,제네시스,G90,G90,G90,,T,
,,,,,0,,,,
제네시스,GV60,GV60,제네시스,GV60,GV60,GV60,,T,
,,,,,0,,,,
제네시스,GV70,GV70,제네시스,GV70,GV70,GV70,,T,
,,,,,0,,,,
제네시스,GV80,GV80,제네시스,GV80,GV80,GV80,,T,
,,,,,0,,,,
기아,EV6,EV6,기아,EV6,EV6,EV6,,T,
,,,,,0,,,,
기아,K3,올 뉴 K3,기아,K3,올 뉴 K3,올 뉴 K3,,T,
,,,,,0,,,,
기아,K3,K3,기아,K3,K3,K3,,T,
,,,,,0,,,,
기아,K3,더 뉴 K3,기아,K3,더 뉴 K3,더 뉴 K3,,T,
,,,,,0,,,,
기아,K3,더 뉴 K3 2세대,기아,K3,더 뉴 K3 2세대,더 뉴 K3 2세대,,T,
,,,,,0,,,,
기아,K3,K3 쿱,기아,K3,K3 쿱,K3 쿱,,T,
,,,,,0,,,,
기아,K3,더 뉴 K3 쿱,기아,K3,더 뉴 K3 쿱,더 뉴 K3 쿱,,T,
,,,,,0,,,,
기아,K3,K3 유로,기아,K3,K3 유로,K3 유로,,T,
,,,,,0,,,,
기아,K3,더 뉴 K3 유로,기아,K3,더 뉴 K3 유로,더 뉴 K3 유로,,T,
,,,,,0,,,,
기아,K5,K5,기아,K5,K5,K5,,T,
,,,,,0,,,,
기아,K5,K5 2세대,기아,K5,K5 2세대,K5 2세대,,T,
,,,,,0,,,,
기아,K5,더 뉴 K5,기아,K5,더 뉴 K5,더 뉴 K5,,T,
,,,,,0,,,,
기아,K5,더 뉴 K5 2세대,기아,K5,더 뉴 K5 2세대,더 뉴 K5 2세대,,T,
,,,,,0,,,,
기아,K5,K5 3세대,기아,K5,K5 3세대,K5 3세대,,T,
,,,,,0,,,,
기아,K5,K5 하이브리드,기아,K5,K5 하이브리드,K5 하이브리드,,T,
,,,,,0,,,,
기아,K5,K5 하이브리드 3세대,기아,K5,K5 하이브리드 3세대,K5 하이브리드 3세대,,T,
,,,,,0,,,,
기아,K5,K5 하이브리드 2세대,기아,K5,K5 하이브리드 2세대,K5 하이브리드 2세대,,T,
,,,,,0,,,,
기아,K5,더 뉴 K5 하이브리드 2세대,기아,K5,더 뉴 K5 하이브리드 2세대,더 뉴 K5 하이브리드 2세대,,T,
,,,,,0,,,,
기아,K7,올 뉴 K7,기아,K7,올 뉴 K7,올 뉴 K7,,T,
,,,,,0,,,,
기아,K7,더 뉴 K7,기아,K7,더 뉴 K7,더 뉴 K7,,T,
,,,,,0,,,,
기아,K7,K7 프리미어,기아,K7,K7 프리미어,K7 프리미어,,T,
,,,,,0,,,,
기아,K7,K7,기아,K7,K7,K7,,T,
,,,,,0,,,,
기아,K7,더 프레스티지 K7,기아,K7,더 프레스티지 K7,더 프레스티지 K7,,T,
,,,,,0,,,,
기아,K7,올 뉴 K7 하이브리드,기아,K7,올 뉴 K7 하이브리드,올 뉴 K7 하이브리드,,T,
,,,,,0,,,,
기아,K7,K7 프리미어 하이브리드,기아,K7,K7 프리미어 하이브리드,K7 프리미어 하이브리드,,T,
,,,,,0,,,,
기아,K7,K7 하이브리드,기아,K7,K7 하이브리드,K7 하이브리드,,T,
,,,,,0,,,,
기아,K8,K8,기아,K8,K8,K8,,T,
,,,,,0,,,,
기아,K8,K8 하이브리드,기아,K8,K8 하이브리드,K8 하이브리드,,T,
,,,,,0,,,,
기아,K9,더 K9,기아,K9,더 K9,더 K9,,T,
,,,,,0,,,,
기아,K9,K9,기아,K9,K9,K9,,T,
,,,,,0,,,,
기아,K9,더 뉴 K9,기아,K9,더 뉴 K9,더 뉴 K9,,T,
,,,,,0,,,,
기아,K9,더 뉴 K9 2세대,기아,K9,더 뉴 K9 2세대,더 뉴 K9 2세대,,T,
,,,,,0,,,,
기아,X-TREK,X-TREK,기아,X-TREK,X-TREK,X-TREK,,T,
,,,,,0,,,,
기아,니로,니로,기아,니로,니로,니로,,T,
,,,,,0,,,,
기아,니로,더 뉴 니로,기아,니로,더 뉴 니로,더 뉴 니로,,T,
,,,,,0,,,,
기아,니로,니로 EV,기아,니로,니로 EV,니로 EV,,T,
,,,,,0,,,,
기아,델타,델타,기아,델타,델타,델타,,T,
,,,,,0,,,,
기아,레이,레이,기아,레이,레이,레이,,T,
,,,,,0,,,,
기아,레이,더 뉴 레이,기아,레이,더 뉴 레이,더 뉴 레이,,T,
,,,,,0,,,,
기아,레토나,레토나,기아,레토나,레토나,레토나,,T,
,,,,,0,,,,
기아,로체,로체 이노베이션,기아,로체,로체 이노베이션,로체 이노베이션,,T,
,,,,,0,,,,
기아,로체,로체 어드밴스,기아,로체,로체 어드밴스,로체 어드밴스,,T,
,,,,,0,,,,
기아,로체,로체,기아,로체,로체,로체,,T,
,,,,,0,,,,
기아,록스타,록스타,기아,록스타,록스타,록스타,,T,
,,,,,0,,,,
기아,록스타,록스타 R2,기아,록스타,록스타 R2,록스타 R2,,T,
,,,,,0,,,,
기아,리갈,리갈,기아,리갈,리갈,리갈,,T,
,,,,,0,,,,
기아,리오,리오,기아,리오,리오,리오,,T,
,,,,,0,,,,
기아,모닝,올 뉴 모닝,기아,모닝,올 뉴 모닝,올 뉴 모닝,,T,
,,,,,0,,,,
기아,모닝,올 뉴 모닝 (JA),기아,모닝,올 뉴 모닝 (JA),올 뉴 모닝 (JA),,T,
,,,,,0,,,,
기아,모닝,뉴모닝,기아,모닝,뉴모닝,뉴모닝,,T,
,,,,,0,,,,
기아,모닝,더 뉴 모닝,기아,모닝,더 뉴 모닝,더 뉴 모닝,,T,
,,,,,0,,,,
기아,모닝,모닝 어반,기아,모닝,모닝 어반,모닝 어반,,T,
,,,,,0,,,,
기아,모닝,모닝,기아,모닝,모닝,모닝,,T,
,,,,,0,,,,
기아,모하비,모하비,기아,모하비,모하비,모하비,,T,
,,,,,0,,,,
기아,모하비,더 뉴 모하비,기아,모하비,더 뉴 모하비,더 뉴 모하비,,T,
,,,,,0,,,,
기아,모하비,모하비 더 마스터,기아,모하비,모하비 더 마스터,모하비 더 마스터,,T,
,,,,,0,,,,
기아,베스타,하이베스타,기아,베스타,하이베스타,하이베스타,,T,
,,,,,0,,,,
기아,베스타,베스타,기아,베스타,베스타,베스타,,T,
,,,,,0,,,,
기아,봉고III 미니버스,봉고III 미니버스,기아,봉고3 미니버스,봉고3 미니버스,봉고3 미니버스,,F,
,,,,,0,,,,
기아,브리샤,브리샤,기아,브리사,브리사,브리사,,F,
,,,,,0,,,,
기아,비스토,비스토,기아,비스토,비스토,비스토,,T,
,,,,,0,,,,
기아,세피아,세피아,기아,세피아,세피아,세피아,,T,
,,,,,0,,,,
기아,세피아,세피아2,기아,세피아,세피아2,세피아2,,T,
,,,,,0,,,,
기아,셀토스,셀토스,기아,셀토스,셀토스,셀토스,,T,
,,,,,0,,,,
기아,슈마,슈마,기아,슈마,슈마,슈마,,T,
,,,,,0,,,,
기아,스토닉,스토닉,기아,스토닉,스토닉,스토닉,,T,
,,,,,0,,,,
기아,스팅어,스팅어,기아,스팅어,스팅어,스팅어,,T,
,,,,,0,,,,
기아,스팅어,스팅어 마이스터,기아,스팅어,스팅어 마이스터,스팅어 마이스터,,T,
,,,,,0,,,,
기아,스펙트라,스펙트라,기아,스펙트라,스펙트라,스펙트라,,T,
,,,,,0,,,,
기아,스포티지,스포티지 4세대,기아,스포티지,스포티지 4세대,스포티지 4세대,,T,
,,,,,0,,,,
기아,스포티지,스포티지 R,기아,스포티지,스포티지 R,스포티지 R,,T,
,,,,,0,,,,
기아,스포티지,더 뉴 스포티지 R,기아,스포티지,더 뉴 스포티지 R,더 뉴 스포티지 R,,T,
,,,,,0,,,,
기아,스포티지,스포티지 더 볼드,기아,스포티지,스포티지 더 볼드,스포티지 더 볼드,,T,
,,,,,0,,,,
기아,스포티지,New 스포티지,기아,스포티지,뉴 스포티지,뉴 스포티지,,F,
,,,,,0,,,,
기아,스포티지,스포티지 5세대,기아,스포티지,디 올 뉴 스포티지,스포티지 4세대,,F,디 올 뉴 스포티지
,,,,,0,,,,
기아,스포티지,스포티지 5세대 하이브리드,기아,스포티지,디 올 뉴 스포티지 하이브리드,쏘렌토 4세대 하이브리드,,F,디 올 뉴 스포티지 하이브리드
,,,,,0,,,,
기아,스포티지,스포티지,기아,스포티지,스포티지,스포티지,,T,
,,,,,0,,,,
기아,쎄라토,뉴쎄라토,기아,쎄라토,뉴쎄라토,뉴쎄라토,,T,
,,,,,0,,,,
기아,쎄라토,쎄라토,기아,쎄라토,쎄라토,쎄라토,,T,
,,,,,0,,,,
기아,쏘렌토,더 뉴 쏘렌토,기아,쏘렌토,더 뉴 쏘렌토,더 뉴 쏘렌토,,T,
,,,,,0,,,,
기아,쏘렌토,올 뉴 쏘렌토,기아,쏘렌토,올 뉴 쏘렌토,올 뉴 쏘렌토,,T,
,,,,,0,,,,
기아,쏘렌토,쏘렌토 R,기아,쏘렌토,쏘렌토 R,쏘렌토 R,,T,
,,,,,0,,,,
기아,쏘렌토,뉴 쏘렌토 R,기아,쏘렌토,뉴 쏘렌토 R,뉴 쏘렌토 R,,T,
,,,,,0,,,,
기아,쏘렌토,쏘렌토 4세대,기아,쏘렌토,쏘렌토 4세대,쏘렌토 4세대,,T,
,,,,,0,,,,
기아,쏘렌토,뉴쏘렌토,기아,쏘렌토,뉴쏘렌토,뉴쏘렌토,,T,
,,,,,0,,,,
기아,쏘렌토,쏘렌토,기아,쏘렌토,쏘렌토,쏘렌토,,T,
,,,,,0,,,,
기아,쏘울,쏘울,기아,쏘울,쏘울,쏘울,,T,
,,,,,0,,,,
기아,쏘울,쏘울 EV,기아,쏘울,쏘울 EV,쏘울 EV,,T,
,,,,,0,,,,
기아,쏘울,올 뉴 쏘울,기아,쏘울,올 뉴 쏘울,올 뉴 쏘울,,T,
,,,,,0,,,,
기아,쏘울,쏘울 부스터,기아,쏘울,쏘울 부스터,쏘울 부스터,,T,
,,,,,0,,,,
기아,쏘울,더 뉴 쏘울,기아,쏘울,더 뉴 쏘울,더 뉴 쏘울,,T,
,,,,,0,,,,
기아,쏘울,쏘울 부스터 EV,기아,쏘울,쏘울 부스터 EV,쏘울 부스터 EV,,T,
,,,,,0,,,,
기아,아벨라,아벨라,기아,아벨라,아벨라,아벨라,,T,
,,,,,0,,,,
