제조사,모델,세부모델,제조사,모델,,세부모델,,,
기아,엔터프라이즈,엔터프라이즈,기아,엔터프라이즈,엔터프라이즈,엔터프라이즈,,T,
,,,,,0,,,,
기아,엘란,엘란,기아,엘란,엘란,엘란,,T,
,,,,,0,,,,
기아,오피러스,뉴오피러스,기아,오피러스,뉴오피러스,뉴오피러스,,T,
,,,,,0,,,,
기아,오피러스,오피러스 프리미엄,기아,오피러스,오피러스 프리미엄,오피러스 프리미엄,,T,
,,,,,0,,,,
기아,오피러스,오피러스,기아,오피러스,오피러스,오피러스,,T,
,,,,,0,,,,
기아,옵티마,옵티마,기아,옵티마,옵티마,옵티마,,T,
,,,,,0,,,,
기아,카니발,올 뉴 카니발,기아,카니발,올 뉴 카니발,올 뉴 카니발,,T,
,,,,,0,,,,
기아,카니발,더 뉴 카니발,기아,카니발,더 뉴 카니발,더 뉴 카니발,,T,
,,,,,0,,,,
기아,카니발,카니발 R,기아,카니발,카니발 R,카니발 R,,T,
,,,,,0,,,,
기아,카니발,카니발 4세대,기아,카니발,카니발 4세대,카니발 4세대,,T,
,,,,,0,,,,
기아,카니발,그랜드 카니발,기아,카니발,그랜드 카니발,그랜드 카니발,,T,
,,,,,0,,,,
기아,카니발,뉴카니발,기아,카니발,뉴카니발,뉴카니발,,T,
,,,,,0,,,,
기아,카니발,카니발 II,기아,카니발,카니발2,카니발 R,,F,카니발2
,,,,,0,,,,
기아,카니발,카니발,기아,카니발,카니발,카니발,,T,
,,,,,0,,,,
기아,카렌스,뉴카렌스,기아,카렌스,뉴카렌스,뉴카렌스,,T,
,,,,,0,,,,
기아,카렌스,올 뉴 카렌스,기아,카렌스,올 뉴 카렌스,올 뉴 카렌스,,T,
,,,,,0,,,,
기아,카렌스,더 뉴 카렌스,기아,카렌스,더 뉴 카렌스,더 뉴 카렌스,,T,
,,,,,0,,,,
기아,카렌스,카렌스 II,기아,카렌스,카렌스2,카렌스2,,F,카렌스2
,,,,,0,,,,
기아,카렌스,카렌스,기아,카렌스,카렌스,카렌스,,T,
,,,,,0,,,,
기아,카스타,카스타,기아,카스타,카스타,카스타,,T,
,,,,,0,,,,
기아,캐피탈,캐피탈,기아,캐피탈,캐피탈,캐피탈,,T,
,,,,,0,,,,
기아,콩코드,뉴콩코드,기아,콩코드,뉴콩코드,뉴콩코드,,T,
,,,,,0,,,,
기아,콩코드,콩코드,기아,콩코드,콩코드,콩코드,,T,
,,,,,0,,,,
기아,크레도스,크레도스,기아,크레도스,크레도스,크레도스,,T,
,,,,,0,,,,
기아,크레도스,크레도스 2,기아,크레도스,크레도스2,크레도스2,,T,
,,,,,0,,,,
기아,타우너,타우너,기아,타우너,타우너,타우너,,T,
,,,,,0,,,,
기아,토픽,토픽,기아,토픽,토픽,토픽,,T,
,,,,,0,,,,
기아,파크타운,파크타운,기아,파크타운,파크타운,파크타운,,T,
,,,,,0,,,,
기아,포르테,포르테,기아,포르테,포르테,포르테,,T,
,,,,,0,,,,
기아,포르테,포르테 쿱,기아,포르테,포르테 쿱,포르테 쿱,,T,
,,,,,0,,,,
기아,포르테,포르테 해치백,기아,포르테,포르테 해치백,포르테 해치백,,T,
,,,,,0,,,,
기아,포텐샤,포텐샤,기아,포텐샤,포텐샤,포텐샤,,T,
,,,,,0,,,,
기아,포텐샤,뉴포텐샤,기아,포텐샤,뉴포텐샤,뉴포텐샤,,T,
,,,,,0,,,,
기아,프라이드,올 뉴 프라이드,기아,프라이드,올 뉴 프라이드,올 뉴 프라이드,,T,
,,,,,0,,,,
기아,프라이드,프라이드(신형),기아,프라이드,프라이드(신형),프라이드(신형),,T,
,,,,,0,,,,
기아,프라이드,더 뉴 프라이드,기아,프라이드,더 뉴 프라이드,더 뉴 프라이드,,T,
,,,,,0,,,,
기아,프라이드,프라이드,기아,프라이드,프라이드,프라이드,,T,
,,,,,0,,,,
기아,프레지오,프레지오,기아,프레지오,프레지오,프레지오,,T,
,,,,,0,,,,
기아,피아트132,피아트132,기아,피아트132,피아트132,피아트132,,T,
,,,,,0,,,,
쉐보레(GM대우),G2X,G2X,쉐보레(GM대우),G2X,G2X,G2X,,T,
,,,,,0,,,,
쉐보레(GM대우),넥시아,넥시아,쉐보레(GM대우),넥시아,넥시아,넥시아,,T,
,,,,,0,,,,
쉐보레(GM대우),누비라,누비라 2,쉐보레(GM대우),누비라,누비라 2,누비라 2,,T,
,,,,,0,,,,
쉐보레(GM대우),누비라,누비라,쉐보레(GM대우),누비라,누비라,누비라,,T,
,,,,,0,,,,
쉐보레(GM대우),다마스,뉴 다마스,쉐보레(GM대우),다마스,뉴 다마스,뉴 다마스,,T,
,,,,,0,,,,
쉐보레(GM대우),다마스,다마스 II,쉐보레(GM대우),다마스,다마스2,다마스2,,F,다마스2
,,,,,0,,,,
쉐보레(GM대우),다마스,다마스,쉐보레(GM대우),다마스,다마스,다마스,,T,
,,,,,0,,,,
쉐보레(GM대우),라노스,라노스 II,쉐보레(GM대우),라노스,라노스2,라노스2,,F,라노스2
,,,,,0,,,,
쉐보레(GM대우),라노스,라노스,쉐보레(GM대우),라노스,라노스,라노스,,T,
,,,,,0,,,,
쉐보레(GM대우),라보,뉴 라보,쉐보레(GM대우),라보,뉴 라보,뉴 라보,,T,
,,,,,0,,,,
쉐보레(GM대우),라보,라보,쉐보레(GM대우),라보,라보,라보,,T,
,,,,,0,,,,
쉐보레(GM대우),라세티,라세티 프리미어,쉐보레(GM대우),라세티,라세티 프리미어,라세티 프리미어,,T,
,,,,,0,,,,
쉐보레(GM대우),라세티,라세티,쉐보레(GM대우),라세티,라세티,라세티,,T,
,,,,,0,,,,
쉐보레(GM대우),레간자,레간자,쉐보레(GM대우),레간자,레간자,레간자,,T,
,,,,,0,,,,
쉐보레(GM대우),레조,레조,쉐보레(GM대우),레조,레조,레조,,T,
,,,,,0,,,,
쉐보레(GM대우),로얄살롱,로얄살롱,쉐보레(GM대우),로얄살롱,로얄살롱,로얄살롱,,T,
,,,,,0,,,,
쉐보레(GM대우),르망,르망,쉐보레(GM대우),르망,르망,르망,,T,
,,,,,0,,,,
쉐보레(GM대우),마티즈,마티즈 크리에이티브,쉐보레(GM대우),마티즈,마티즈 크리에이티브,마티즈 크리에이티브,,T,
,,,,,0,,,,
쉐보레(GM대우),마티즈,All New 마티즈,쉐보레(GM대우),마티즈,All New 마티즈,All New 마티즈,,T,
,,,,,0,,,,
쉐보레(GM대우),마티즈,마티즈 클래식,쉐보레(GM대우),마티즈,마티즈 클래식,마티즈 클래식,,T,
,,,,,0,,,,
쉐보레(GM대우),마티즈,마티즈 II,쉐보레(GM대우),마티즈,마티즈2,마티즈2,,F,마티즈2
,,,,,0,,,,
쉐보레(GM대우),마티즈,마티즈,쉐보레(GM대우),마티즈,마티즈,마티즈,,T,
,,,,,0,,,,
쉐보레(GM대우),말리부,올 뉴 말리부,쉐보레(GM대우),말리부,올 뉴 말리부,올 뉴 말리부,,T,
,,,,,0,,,,
쉐보레(GM대우),말리부,말리부,쉐보레(GM대우),말리부,말리부,말리부,,T,
,,,,,0,,,,
쉐보레(GM대우),말리부,더 뉴 말리부,쉐보레(GM대우),말리부,더 뉴 말리부,더 뉴 말리부,,T,
,,,,,0,,,,
쉐보레(GM대우),매그너스,매그너스,쉐보레(GM대우),매그너스,매그너스,매그너스,,T,
,,,,,0,,,,
쉐보레(GM대우),맵시,맵시,쉐보레(GM대우),맵시,맵시,맵시,,T,
,,,,,0,,,,
쉐보레(GM대우),베리타스,베리타스,쉐보레(GM대우),베리타스,베리타스,베리타스,,T,
,,,,,0,,,,
쉐보레(GM대우),볼트 EUV,볼트 EUV,쉐보레(GM대우),볼트 EUV,볼트 EUV,볼트 EUV,,T,
,,,,,0,,,,
쉐보레(GM대우),볼트 EV,볼트 EV,쉐보레(GM대우),볼트 EV,볼트 EV,볼트 EV,,T,
,,,,,0,,,,
쉐보레(GM대우),볼트 EV,뉴 볼트 EV,쉐보레(GM대우),볼트 EV,뉴 볼트 EV,뉴 볼트 EV,,T,
,,,,,0,,,,
쉐보레(GM대우),볼트(Volt),볼트(Volt),쉐보레(GM대우),볼트(Volt),볼트(Volt),볼트(Volt),,T,
,,,,,0,,,,
쉐보레(GM대우),브로엄,브로엄,쉐보레(GM대우),브로엄,브로엄,브로엄,,T,
,,,,,0,,,,
쉐보레(GM대우),슈퍼살롱,슈퍼살롱,쉐보레(GM대우),슈퍼살롱,슈퍼살롱,슈퍼살롱,,T,
,,,,,0,,,,
쉐보레(GM대우),스테이츠맨,스테이츠맨,쉐보레(GM대우),스테이츠맨,스테이츠맨,스테이츠맨,,T,
,,,,,0,,,,
쉐보레(GM대우),스파크,스파크,쉐보레(GM대우),스파크,스파크,스파크,,T,
,,,,,0,,,,
쉐보레(GM대우),스파크,더 넥스트 스파크,쉐보레(GM대우),스파크,더 넥스트 스파크,더 넥스트 스파크,,T,
,,,,,0,,,,
쉐보레(GM대우),스파크,더 뉴 스파크,쉐보레(GM대우),스파크,더 뉴 스파크,더 뉴 스파크,,T,
,,,,,0,,,,
쉐보레(GM대우),스파크,스파크 EV,쉐보레(GM대우),스파크,스파크 EV,스파크 EV,,T,
,,,,,0,,,,
쉐보레(GM대우),씨에로,씨에로,쉐보레(GM대우),씨에로,씨에로,씨에로,,T,
,,,,,0,,,,
쉐보레(GM대우),아베오,아베오 해치백,쉐보레(GM대우),아베오,아베오,포르테 해치백,,F,아베오
,,,,,0,,,,
쉐보레(GM대우),아베오,아베오 세단,쉐보레(GM대우),아베오,아베오,아베오,,F,아베오
,,,,,0,,,,
쉐보레(GM대우),아베오,더 뉴 아베오 세단,쉐보레(GM대우),아베오,더 뉴 아베오,더 뉴 아베오,,F,더 뉴 아베오
,,,,,0,,,,
쉐보레(GM대우),아베오,더 뉴 아베오 해치백,쉐보레(GM대우),아베오,더 뉴 아베오,더 뉴 아베오,,F,더 뉴 아베오
,,,,,0,,,,
쉐보레(GM대우),아카디아,아카디아,쉐보레(GM대우),아카디아,아카디아,아카디아,,T,
,,,,,0,,,,
쉐보레(GM대우),알페온,알페온,쉐보레(GM대우),알페온,알페온,알페온,,T,
,,,,,0,,,,
쉐보레(GM대우),에스페로,에스페로,쉐보레(GM대우),에스페로,에스페로,에스페로,,T,
,,,,,0,,,,
쉐보레(GM대우),올란도,올란도,쉐보레(GM대우),올란도,올란도,올란도,,T,
,,,,,0,,,,
쉐보레(GM대우),윈스톰,윈스톰,쉐보레(GM대우),윈스톰,윈스톰,윈스톰,,T,
,,,,,0,,,,
쉐보레(GM대우),윈스톰,윈스톰 맥스,쉐보레(GM대우),윈스톰,윈스톰 맥스,윈스톰 맥스,,T,
,,,,,0,,,,
쉐보레(GM대우),이쿼녹스,이쿼녹스,쉐보레(GM대우),이쿼녹스,이쿼녹스,이쿼녹스,,T,
,,,,,0,,,,
쉐보레(GM대우),임팔라,임팔라,쉐보레(GM대우),임팔라,임팔라,임팔라,,T,
,,,,,0,,,,
쉐보레(GM대우),임페리얼,임페리얼,쉐보레(GM대우),임페리얼,임페리얼,임페리얼,,T,
,,,,,0,,,,
쉐보레(GM대우),젠트라,젠트라 X,쉐보레(GM대우),젠트라,젠트라 X,젠트라 X,,T,
,,,,,0,,,,
쉐보레(GM대우),젠트라,젠트라,쉐보레(GM대우),젠트라,젠트라,젠트라,,T,
,,,,,0,,,,
쉐보레(GM대우),카마로,올 뉴 카마로,쉐보레(GM대우),카마로,올 뉴 카마로,올 뉴 카마로,,T,
,,,,,0,,,,
쉐보레(GM대우),카마로,더 뉴 카마로,쉐보레(GM대우),카마로,더 뉴 카마로,더 뉴 카마로,,T,
,,,,,0,,,,
쉐보레(GM대우),카마로,카마로,쉐보레(GM대우),카마로,카마로,카마로,,T,
,,,,,0,,,,
쉐보레(GM대우),칼로스,칼로스,쉐보레(GM대우),칼로스,칼로스,칼로스,,T,
,,,,,0,,,,
쉐보레(GM대우),캡티바,캡티바,쉐보레(GM대우),캡티바,캡티바,캡티바,,T,
,,,,,0,,,,
쉐보레(GM대우),콜로라도,콜로라도,쉐보레(GM대우),콜로라도,콜로라도,콜로라도,,T,
,,,,,0,,,,
쉐보레(GM대우),콜로라도,리얼 뉴 콜로라도,쉐보레(GM대우),콜로라도,리얼 뉴 콜로라도,리얼 뉴 콜로라도,,T,
,,,,,0,,,,
쉐보레(GM대우),콜벳,콜벳,쉐보레(GM대우),콜벳,콜벳,콜벳,,T,
,,,,,0,,,,
쉐보레(GM대우),크루즈,크루즈,쉐보레(GM대우),크루즈,크루즈,크루즈,,T,
,,,,,0,,,,
쉐보레(GM대우),크루즈,어메이징 뉴 크루즈,쉐보레(GM대우),크루즈,어메이징 뉴 크루즈,어메이징 뉴 크루즈,,T,
,,,,,0,,,,
쉐보레(GM대우),크루즈,올 뉴 크루즈,쉐보레(GM대우),크루즈,올 뉴 크루즈,올 뉴 크루즈,,T,
,,,,,0,,,,
쉐보레(GM대우),크루즈,크루즈5,쉐보레(GM대우),크루즈,크루즈5,크루즈5,,T,
,,,,,0,,,,
쉐보레(GM대우),크루즈,어메이징 뉴 크루즈5,쉐보레(GM대우),크루즈,어메이징 뉴 크루즈5,어메이징 뉴 크루즈5,,T,
,,,,,0,,,,
쉐보레(GM대우),토스카,토스카 프리미엄6,쉐보레(GM대우),토스카,토스카 프리미엄6,토스카 프리미엄6,,T,
,,,,,0,,,,
쉐보레(GM대우),토스카,토스카,쉐보레(GM대우),토스카,토스카,토스카,,T,
,,,,,0,,,,
쉐보레(GM대우),트래버스,트래버스,쉐보레(GM대우),트래버스,트래버스,트래버스,,T,
,,,,,0,,,,
쉐보레(GM대우),트랙스,더 뉴 트랙스,쉐보레(GM대우),트랙스,더 뉴 트랙스,더 뉴 트랙스,,T,
,,,,,0,,,,
쉐보레(GM대우),트랙스,트랙스,쉐보레(GM대우),트랙스,트랙스,트랙스,,T,
,,,,,0,,,,
쉐보레(GM대우),트레일블레이저,트레일블레이저,쉐보레(GM대우),트레일블레이저,트레일블레이저,트레일블레이저,,T,
,,,,,0,,,,
쉐보레(GM대우),티코,티코,쉐보레(GM대우),티코,티코,티코,,T,
,,,,,0,,,,
쉐보레(GM대우),프린스,프린스,쉐보레(GM대우),프린스,프린스,프린스,,T,
,,,,,0,,,,
쉐보레(GM대우),프린스,뉴프린스,쉐보레(GM대우),프린스,뉴프린스,뉴프린스,,T,
,,,,,0,,,,
쉐보레(GM대우),프린스,로얄 프린스,쉐보레(GM대우),프린스,로얄 프린스,로얄 프린스,,T,
,,,,,0,,,,
르노삼성,QM3,QM3,르노삼성,QM3,QM3,QM3,,T,
,,,,,0,,,,
르노삼성,QM3,뉴QM3,르노삼성,QM3,뉴QM3,뉴QM3,,T,
,,,,,0,,,,
르노삼성,QM5,QM5,르노삼성,QM5,QM5,QM5,,T,
,,,,,0,,,,
르노삼성,QM5,QM5 네오,르노삼성,QM5,QM5 네오,QM5 네오,,T,
,,,,,0,,,,
르노삼성,QM5,뉴QM5,르노삼성,QM5,뉴QM5,뉴QM5,,T,
,,,,,0,,,,
르노삼성,QM6,QM6,르노삼성,QM6,QM6,QM6,,T,
,,,,,0,,,,
르노삼성,QM6,더 뉴 QM6,르노삼성,QM6,더 뉴 QM6,더 뉴 QM6,,T,
,,,,,0,,,,
르노삼성,SM3,뉴SM3,르노삼성,SM3,뉴SM3,뉴SM3,,T,
,,,,,0,,,,
르노삼성,SM3,SM3 네오,르노삼성,SM3,SM3 네오,SM3 네오,,T,
,,,,,0,,,,
르노삼성,SM3,SM3 뉴 제너레이션,르노삼성,SM3,SM3 뉴 제너레이션,SM3 뉴 제너레이션,,T,
,,,,,0,,,,
르노삼성,SM3,SM3 Z.E.,르노삼성,SM3,SM3 Z.E.,SM3 Z.E.,,T,
,,,,,0,,,,
르노삼성,SM3,SM3,르노삼성,SM3,SM3,SM3,,T,
,,,,,0,,,,
르노삼성,SM5,뉴SM5(신형),르노삼성,SM5,뉴SM5(신형),뉴SM5(신형),,T,
,,,,,0,,,,
르노삼성,SM5,SM5 뉴 임프레션,르노삼성,SM5,SM5 뉴 임프레션,SM5 뉴 임프레션,,T,
,,,,,0,,,,
르노삼성,SM5,뉴SM5 플래티넘,르노삼성,SM5,뉴SM5 플래티넘,뉴SM5 플래티넘,,T,
,,,,,0,,,,
르노삼성,SM5,SM5 노바,르노삼성,SM5,SM5 노바,SM5 노바,,T,
,,,,,0,,,,
르노삼성,SM5,뉴SM5,르노삼성,SM5,뉴SM5,뉴SM5,,T,
,,,,,0,,,,
르노삼성,SM5,SM5,르노삼성,SM5,SM5,SM5,,T,
,,,,,0,,,,
르노삼성,SM6,SM6,르노삼성,SM6,SM6,SM6,,T,
,,,,,0,,,,
르노삼성,SM6,더 뉴 SM6,르노삼성,SM6,더 뉴 SM6,더 뉴 SM6,,T,
,,,,,0,,,,
르노삼성,SM7,SM7 노바,르노삼성,SM7,SM7 노바,SM7 노바,,T,
,,,,,0,,,,
르노삼성,SM7,SM7 New Art,르노삼성,SM7,SM7 New Art,SM7 New Art,,T,
,,,,,0,,,,
르노삼성,SM7,All New SM7,르노삼성,SM7,All New SM7,All New SM7,,T,
,,,,,0,,,,
르노삼성,SM7,SM7,르노삼성,SM7,SM7,SM7,,T,
,,,,,0,,,,
르노삼성,XM3,XM3,르노삼성,XM3,XM3,XM3,,T,
,,,,,0,,,,
르노삼성,마스터,마스터,르노삼성,마스터,마스터,마스터,,T,
,,,,,0,,,,
르노삼성,조에,조에,르노삼성,조에,조에,조에,,T,
,,,,,0,,,,
르노삼성,캡처,캡처,르노삼성,캡처,캡처,캡처,,T,
,,,,,0,,,,
르노삼성,클리오,클리오,르노삼성,클리오,클리오,클리오,,T,
,,,,,0,,,,
르노삼성,트위지,트위지,르노삼성,트위지,트위지,트위지,,T,
,,,,,0,,,,
쌍용,뉴훼미리,뉴훼미리,쌍용,뉴훼미리,뉴훼미리,뉴훼미리,,T,
,,,,,0,,,,
쌍용,렉스턴,렉스턴 스포츠,쌍용,렉스턴,렉스턴 스포츠,렉스턴 스포츠,,T,
,,,,,0,,,,
쌍용,렉스턴,G4 렉스턴,쌍용,렉스턴,G4 렉스턴,G4 렉스턴,,T,
,,,,,0,,,,
쌍용,렉스턴,렉스턴 스포츠 칸,쌍용,렉스턴,렉스턴 스포츠 칸,렉스턴 스포츠 칸,,T,
,,,,,0,,,,
쌍용,렉스턴,렉스턴 W,쌍용,렉스턴,렉스턴 W,렉스턴 W,,T,
,,,,,0,,,,
쌍용,렉스턴,슈퍼 렉스턴,쌍용,렉스턴,슈퍼 렉스턴,슈퍼 렉스턴,,T,
,,,,,0,,,,
쌍용,렉스턴,올 뉴 렉스턴,쌍용,렉스턴,올 뉴 렉스턴,올 뉴 렉스턴,,T,
,,,,,0,,,,
쌍용,렉스턴,렉스턴 II,쌍용,렉스턴,렉스턴2,렉스턴 W,,F,렉스턴2
,,,,,0,,,,
쌍용,렉스턴,뉴렉스턴,쌍용,렉스턴,뉴렉스턴,뉴렉스턴,,T,
,,,,,0,,,,
쌍용,렉스턴,더 뉴 렉스턴 스포츠 칸,쌍용,렉스턴,더 뉴 렉스턴 스포츠 칸,더 뉴 렉스턴 스포츠 칸,,T,
,,,,,0,,,,
쌍용,렉스턴,더 뉴 렉스턴 스포츠,쌍용,렉스턴,더 뉴 렉스턴 스포츠,더 뉴 렉스턴 스포츠,,T,
,,,,,0,,,,
쌍용,렉스턴,렉스턴,쌍용,렉스턴,렉스턴,렉스턴,,T,
,,,,,0,,,,
쌍용,로디우스,뉴로디우스,쌍용,로디우스,뉴로디우스,뉴로디우스,,T,
,,,,,0,,,,
쌍용,로디우스,로디우스 유로,쌍용,로디우스,로디우스 유로,로디우스 유로,,T,
,,,,,0,,,,
쌍용,로디우스,로디우스,쌍용,로디우스,로디우스,로디우스,,T,
,,,,,0,,,,
쌍용,무쏘,뉴무쏘,쌍용,무쏘,뉴무쏘,뉴무쏘,,T,
,,,,,0,,,,
쌍용,무쏘,무쏘 스포츠,쌍용,무쏘,무쏘 스포츠,무쏘 스포츠,,T,
,,,,,0,,,,
쌍용,무쏘,무쏘,쌍용,무쏘,무쏘,무쏘,,T,
,,,,,0,,,,
쌍용,무쏘,뉴무쏘 밴,쌍용,무쏘,뉴무쏘,뉴무쏘,,F,
,,,,,0,,,,
쌍용,액티언,액티언 스포츠,쌍용,액티언,액티언 스포츠,액티언 스포츠,,T,
,,,,,0,,,,
쌍용,액티언,액티언,쌍용,액티언,액티언,액티언,,T,
,,,,,0,,,,
쌍용,이스타나,이스타나,쌍용,이스타나,이스타나,이스타나,,T,
,,,,,0,,,,
쌍용,체어맨,뉴체어맨 W,쌍용,체어맨,뉴체어맨 W,뉴체어맨 W,,T,
,,,,,0,,,,
쌍용,체어맨,체어맨 W,쌍용,체어맨,체어맨 W,체어맨 W,,T,
,,,,,0,,,,
쌍용,체어맨,뉴체어맨,쌍용,체어맨,뉴체어맨,뉴체어맨,,T,
,,,,,0,,,,
쌍용,체어맨,체어맨 H,쌍용,체어맨,체어맨 H,체어맨 H,,T,
,,,,,0,,,,
쌍용,체어맨,체어맨 H 뉴 클래식,쌍용,체어맨,체어맨 H 뉴 클래식,체어맨 H 뉴 클래식,,T,
,,,,,0,,,,
쌍용,체어맨,체어맨,쌍용,체어맨,체어맨,체어맨,,T,
,,,,,0,,,,
쌍용,카이런,뉴카이런,쌍용,카이런,뉴카이런,뉴카이런,,T,
,,,,,0,,,,
쌍용,카이런,카이런,쌍용,카이런,카이런,카이런,,T,
,,,,,0,,,,
쌍용,칼리스타,칼리스타,쌍용,칼리스타,칼리스타,칼리스타,,T,
,,,,,0,,,,
쌍용,코란도,코란도 스포츠,쌍용,코란도,코란도 스포츠,코란도 스포츠,,T,
,,,,,0,,,,
쌍용,코란도,코란도 투리스모,쌍용,코란도,코란도 투리스모,코란도 투리스모,,T,
,,,,,0,,,,
쌍용,코란도,더 뉴 코란도 스포츠,쌍용,코란도,더 뉴 코란도 스포츠,더 뉴 코란도 스포츠,,T,
,,,,,0,,,,
쌍용,코란도,뉴코란도 C,쌍용,코란도,뉴코란도 C,뉴코란도 C,,T,
,,,,,0,,,,
쌍용,코란도,코란도 C,쌍용,코란도,코란도 C,코란도 C,,T,
,,,,,0,,,,
쌍용,코란도,뷰티풀 코란도,쌍용,코란도,뷰티풀 코란도,뷰티풀 코란도,,T,
,,,,,0,,,,
쌍용,코란도,뉴 스타일 코란도 C,쌍용,코란도,뉴 스타일 코란도 C,뉴 스타일 코란도 C,,T,
,,,,,0,,,,
쌍용,코란도,뉴코란도,쌍용,코란도,뉴코란도,뉴코란도,,T,
,,,,,0,,,,
쌍용,코란도,코란도 지프,쌍용,코란도,코란도 지프,코란도 지프,,T,
,,,,,0,,,,
쌍용,코란도,코란도 훼미리,쌍용,코란도,코란도 훼미리,코란도 훼미리,,T,
,,,,,0,,,,
쌍용,티볼리,티볼리,쌍용,티볼리,티볼리,티볼리,,T,
,,,,,0,,,,
쌍용,티볼리,티볼리 아머,쌍용,티볼리,티볼리 아머,티볼리 아머,,T,
,,,,,0,,,,
쌍용,티볼리,티볼리 에어,쌍용,티볼리,티볼리 에어,티볼리 에어,,T,
,,,,,0,,,,
쌍용,티볼리,베리 뉴 티볼리,쌍용,티볼리,베리 뉴 티볼리,베리 뉴 티볼리,,T,
,,,,,0,,,,
기타 제조사,기타 승용차,기타,기타,기타,기타,기타,,T,
,,,,,0,,,,
기타 제조사,어울림모터스,어울림모터스-스피라,기타,기타,승용차,쏘울 부스터,,F,기타->기타->승용차
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
